user_id,signup_date,acquisition_channel
1,2026-02-10,organic
2,2026-02-02,ads
3,2026-02-07,organic
4,2026-01-23,referral
5,2026-02-23,ads
6,2026-02-25,organic
7,2026-02-08,ads
8,2026-02-19,organic
9,2026-01-17,organic
10,2026-01-26,ads
11,2026-02-08,organic
12,2026-02-05,social
13,2026-02-19,ads
14,2026-02-18,organic
15,2026-02-08,organic
16,2026-02-23,referral
17,2026-01-09,organic
18,2026-02-14,organic
19,2026-01-29,social
20,2026-01-05,social
21,2026-01-16,referral
22,2026-01-04,ads
23,2026-02-25,social
24,2026-01-11,ads
25,2026-01-25,organic
26,2026-02-07,referral
27,2026-02-13,social
28,2026-02-07,ads
29,2026-01-30,organic
30,2026-02-02,organic
31,2026-01-24,organic
32,2026-02-26,organic
33,2026-02-24,organic
34,2026-01-06,ads
35,2026-02-05,organic
36,2026-02-27,ads
37,2026-01-16,social
38,2026-01-18,organic
39,2026-01-15,organic
40,2026-02-23,ads
41,2026-01-28,ads
42,2026-02-13,referral
43,2026-02-16,social
44,2026-02-09,ads
45,2026-02-02,ads
46,2026-02-10,ads
47,2026-01-20,organic
48,2026-02-15,referral
49,2026-02-25,referral
50,2026-01-30,organic
51,2026-02-27,organic
52,2026-02-19,ads
53,2026-02-14,organic
54,2026-02-14,organic
55,2026-02-23,ads
56,2026-02-16,organic
57,2026-02-07,ads
58,2026-01-22,referral
59,2026-01-31,organic
60,2026-02-11,organic
61,2026-02-09,organic
62,2026-02-17,referral
63,2026-02-15,organic
64,2026-02-06,referral
65,2026-02-15,organic
66,2026-02-04,referral
67,2026-01-22,organic
68,2026-02-14,social
69,2026-02-11,referral
70,2026-02-03,organic
71,2026-01-15,organic
72,2026-01-07,referral
73,2026-02-14,social
74,2026-01-08,referral
75,2026-01-06,social
76,2026-02-28,ads
77,2026-02-09,organic
78,2026-01-11,organic
79,2026-02-14,social
80,2026-02-04,organic
81,2026-02-14,ads
82,2026-01-02,organic
83,2026-01-31,ads
84,2026-02-01,social
85,2026-01-30,organic
86,2026-01-01,referral
87,2026-03-01,organic
88,2026-01-01,ads
89,2026-01-30,social
90,2026-01-18,ads
91,2026-01-18,referral
92,2026-01-19,referral
93,2026-01-31,organic
94,2026-01-27,organic
95,2026-02-20,referral
96,2026-02-25,referral
97,2026-01-05,ads
98,2026-02-26,referral
99,2026-01-28,social
100,2026-01-10,organic
101,2026-02-07,organic
102,2026-02-10,social
103,2026-02-06,ads
104,2026-01-01,ads
105,2026-01-15,ads
106,2026-02-19,referral
107,2026-02-07,ads
108,2026-01-27,organic
109,2026-01-18,referral
110,2026-01-30,social
111,2026-02-16,referral
112,2026-01-30,ads
113,2026-01-31,organic
114,2026-01-20,ads
115,2026-02-04,organic
116,2026-02-17,referral
117,2026-01-18,organic
118,2026-01-04,ads
119,2026-01-06,referral
120,2026-01-14,organic
